Country,City,UpdateTimeUTC,JamsDelay,TrafficIndexLive,JamsLengthInKms,JamsCount,TrafficIndexWeekAgo,UpdateTimeUTCWeekAgo,TravelTimeLivePer10KmsMins,TravelTimeHistoricPer10KmsMins,MinsDelay
IND,bangalore,31:30.0,534.4,35,70.4,129,57,01:30.0,29.42942306,29.15022899,0.27919407
IND,bangalore,16:30.0,554.4,33,69.3,135,51,16:30.0,29.02750772,28.81208936,0.215418366
IND,bangalore,16:30.0,258.3,21,32,70,32,16:30.0,25.93762783,26.01780797,-0.080180135
IND,bangalore,16:30.0,75.6,5,9.2,26,9,16:30.0,22.30294688,22.25024316,0.052703726
IND,bangalore,31:30.0,51.8,0,4.6,11,0,31:30.0,18.71786606,18.3888702,0.328995868
IND,bangalore,31:30.0,12.7,0,4.7,5,0,31:30.0,17.23592271,17.05961273,0.176309971
IND,bangalore,31:30.0,14,0,4.8,5,0,31:30.0,16.49735391,16.26978104,0.227572871
IND,bangalore,31:30.0,0.4,0,0.7,1,0,31:30.0,16.60826686,16.36728807,0.240978787
IND,bangalore,31:30.0,15.5,0,0.8,4,0,31:30.0,17.58461162,17.20236337,0.382248257
IND,bangalore,31:30.0,13.3,0,0.7,3,0,31:30.0,18.62934437,17.88738458,0.741959783
IND,bangalore,31:30.0,25,0,1.8,8,0,31:30.0,20.48972619,19.74052614,0.749200046
IND,bangalore,31:30.0,82.4,9,9.6,24,10,31:30.0,23.04367457,22.02878867,1.014885902
IND,bangalore,31:30.0,149,18,15.7,42,21,31:30.0,25.03895156,24.66193206,0.377019497
IND,bangalore,31:30.0,202.2,26,23,66,29,31:30.0,26.86350472,26.57214135,0.291363362
IND,bangalore,31:30.0,447.5,36,51.2,135,38,31:30.0,29.07287227,28.349953,0.722919272
IND,bangalore,46:30.0,663.8,38,82.3,189,41,46:30.0,29.45628747,28.53472967,0.921557808
IND,bangalore,16:30.0,576.3,35,68.1,162,38,16:30.0,28.92392018,28.23778704,0.686133143
IND,bangalore,31:30.0,339.8,25,36.9,95,29,16:30.0,26.84418776,26.44281635,0.401371412
IND,bangalore,01:30.0,366.7,25,39.2,104,27,01:30.0,26.76236657,26.30639491,0.455971657
IND,bangalore,31:30.0,261.4,23,23.3,69,26,31:30.0,26.38754702,26.04788653,0.339660494
IND,bangalore,31:30.0,358.5,26,36.4,96,29,31:30.0,27.15634032,26.43697697,0.719363351
IND,bangalore,31:30.0,467.2,29,46.8,126,31,31:30.0,27.70278516,26.77434375,0.928441413
IND,bangalore,16:30.0,452.7,29,47.7,119,31,16:30.0,27.63486819,26.74891822,0.885949967
IND,bangalore,16:30.0,296.7,23,33.9,86,23,16:30.0,26.5360171,25.95227679,0.583740304
IND,bangalore,16:30.0,106.1,14,11.7,36,15,16:30.0,24.6953982,24.56297871,0.132419493
IND,bangalore,16:30.0,95.3,8,7.3,31,8,16:30.0,23.24233489,23.14319096,0.099143923
IND,bangalore,16:30.1,67.7,2,4.4,19,2,16:30.0,21.6369799,21.72976381,-0.092783912
IND,bangalore,31:30.0,86.5,0,7.5,18,0,31:30.0,19.01095111,18.70766982,0.303281288
IND,bangalore,31:30.0,51,0,10.9,16,0,31:30.0,18.27343342,17.7232088,0.550224617
IND,bangalore,31:30.0,15.5,0,1.7,5,0,31:30.0,16.95887834,16.82433873,0.134539605
IND,bangalore,31:30.0,4,0,6.2,2,0,31:30.0,16.59507345,16.43290772,0.162165732
IND,bangalore,31:30.0,8.9,0,6,3,0,31:30.0,17.25904277,16.8974433,0.361599467
IND,bangalore,31:30.0,2.6,0,0.3,1,0,31:30.0,18.68108668,18.06565126,0.615435422
IND,bangalore,31:30.0,61.2,0,8,16,0,31:30.0,19.95067106,18.82439666,1.126274399
IND,bangalore,31:30.0,207,7,18.6,37,3,31:30.0,22.76970487,21.12150584,1.648199024
IND,bangalore,31:30.0,144.4,17,16.5,39,15,31:30.0,25.07382406,23.653473,1.420351061
IND,bangalore,31:30.0,267,28,30.3,74,28,31:30.0,27.65185205,26.85099936,0.800852687
IND,bangalore,31:30.0,443.9,39,53.2,145,41,31:30.0,29.93471894,29.48734945,0.447369489
IND,bangalore,31:30.0,956.9,53,112.9,260,60,31:30.0,33.15883872,32.26139317,0.897445546
IND,bangalore,31:30.0,1277,59,156.8,348,65,46:30.0,34.42809228,32.70931685,1.718775426
IND,bangalore,16:30.0,1320.8,58,161.8,356,60,16:30.0,34.33965474,32.46346944,1.876185297
IND,bangalore,31:30.0,1202.9,50,134,279,45,31:30.0,32.43943133,29.83506204,2.604369292
IND,bangalore,16:30.0,1271.8,49,139.9,298,45,01:30.0,32.31813661,29.73208539,2.586051226
IND,bangalore,46:30.0,825.8,44,102.8,214,43,31:30.0,31.06329071,29.37878139,1.684509321
IND,bangalore,31:30.0,895.3,46,104.3,235,47,31:30.0,31.62759461,29.98448618,1.643108428
IND,bangalore,31:30.0,911.1,48,111.2,262,49,46:30.0,32.13270686,30.31703476,1.815672096
IND,bangalore,16:30.0,1069.9,47,124.1,290,47,16:30.0,31.96299979,30.13897715,1.824022641
IND,bangalore,16:30.0,708.5,38,78.6,188,38,16:30.0,30.22235843,28.87576927,1.346589159
IND,bangalore,16:30.0,388.6,25,37,95,29,16:30.0,27.46342346,27.12219125,0.341232206
IND,bangalore,16:30.0,245.3,18,21.5,62,21,16:30.0,25.74085562,25.44483637,0.296019257
IND,bangalore,16:30.0,150.3,11,13.6,34,10,16:30.0,23.69827217,23.4033818,0.294890373
IND,bangalore,16:30.0,75.4,2,6.6,17,1,16:30.0,21.24570318,20.97822974,0.267473433
IND,bangalore,31:30.0,22.5,0,7.1,10,0,31:30.0,18.46345854,18.00064707,0.462811473
IND,bangalore,31:30.0,0.5,0,1.3,1,0,31:30.0,16.95638854,16.84733385,0.109054693
IND,bangalore,31:30.0,0,0,0,0,0,31:30.0,16.50850498,16.29358235,0.214922631
IND,bangalore,31:30.0,1.5,0,0.6,1,0,31:30.0,17.21376195,16.83283546,0.380926487
IND,bangalore,31:30.0,13.6,0,3.5,6,0,31:30.0,18.29863404,17.66408495,0.634549091
IND,bangalore,31:30.0,48.6,0,7.5,13,0,31:30.0,20.29196123,18.55549153,1.736469701
IND,bangalore,31:30.0,158.5,8,22.8,29,0,31:30.0,22.91092917,20.6082309,2.302698274
IND,bangalore,31:30.0,304.7,22,36.7,64,9,31:30.0,26.30070158,23.14231114,3.158390441
IND,bangalore,31:30.0,496.7,35,56,116,21,31:30.0,29.24055938,26.26322203,2.977337352
IND,bangalore,31:30.0,750.2,50,94.4,197,34,31:30.0,32.57652856,29.07756323,3.498965323
IND,bangalore,31:30.0,1565.4,66,173.7,353,53,31:30.0,36.34909395,31.97043704,4.378656904
IND,bangalore,46:30.0,2045.5,71,229.9,459,60,31:30.0,37.49391067,32.98766801,4.50624266
IND,bangalore,16:30.0,1711.1,67,218.6,419,57,16:30.0,36.52256323,32.58679908,3.935764153
IND,bangalore,01:30.0,1549.3,61,193,374,57,16:30.0,35.39511059,32.16813552,3.226975071
IND,bangalore,16:30.0,956.4,51,128.9,255,41,16:30.0,32.90505309,30.40281648,2.502236607
IND,bangalore,16:30.0,935.4,44,118.4,240,38,16:30.0,31.42394523,28.99040373,2.433541505
IND,bangalore,16:30.0,544.1,38,67.1,169,35,16:30.0,30.20401362,28.04561935,2.158394275
IND,bangalore,31:30.0,364.9,31,49.8,121,35,16:30.0,28.53533539,27.29634873,1.238986665
IND,bangalore,31:30.0,355,31,42.2,108,29,01:30.0,28.62346899,27.40035855,1.223110438
IND,bangalore,31:30.0,517.1,37,57.4,150,32,31:30.0,30.2138774,28.33865389,1.875223513
IND,bangalore,31:30.0,503.2,38,64.5,144,35,31:30.0,30.5147225,28.48060059,2.034121909
IND,bangalore,31:30.0,720.1,41,81,178,35,16:30.0,31.05552833,28.38120041,2.674327917
IND,bangalore,46:30.0,739.7,41,89.4,187,32,01:30.0,30.74842153,28.03988882,2.708532703
IND,bangalore,16:30.0,797.5,38,102.3,215,29,16:30.0,30.26991264,27.62875538,2.641157259
IND,bangalore,16:30.0,379.3,24,44,106,18,16:30.0,26.82603713,25.40233231,1.423704822
IND,bangalore,16:30.0,99.4,7,11,32,5,16:30.0,22.85207598,22.37821063,0.473865359
